code,title
SQ01,- - - - - Hallucination disorder (TM2)
SQ02,- - - - - Hysteria disorder (TM2)
SQ03,- - - - - Insanity disorder (TM2)
SQ04,- - - - - Depressive disorder (TM2)
SQ05,"- - - - - Lack of concentration, confusion disorder (TM2)"
SQ0Y,- - - - - Other specified mental disorders (TM2)
SQ0Z,"- - - - - Mental disorders (TM2), unspecified"
SQ10,- - - - - Anxiety ephemeral fever disorder (TM2)
SQ1Y,- - - - - Other specified emotional disorders (TM2)
SQ1Z,"- - - - - Emotional disorders (TM2), unspecified"
SQ20,- - - - - Alcoholism disorder (TM2)
SQ21,- - - - - Egomania disorder (TM2)
SQ22,- - - - - Non alcoholic intoxication disorder (TM2)
SQ23,- - - - - Panic attack disorder (TM2)
SQ24,- - - - - Insomnia disorder (TM2)
SQ2Y,- - - - - Other specified behavioural disorders (TM2)
SQ2Z,"- - - - - Behavioural disorders (TM2), unspecified"
SQ40,- - - - Hypersomnia disorder (TM2)
SQ41,- - - - Lycanthropy disorder (TM2)
SQ4Y,"- - - - Other specified mental, emotional and behavioural disorders (TM2)"
SQ4Z,"- - - - Mental, emotional and behavioural disorders (TM2), unspecified"
SQ50,- - - - - Worm infestation disorder (TM2)
SQ5Y,- - - - - Other specified infestation disorders (TM2)
SQ5Z,"- - - - - Infestation disorders (TM2), unspecified"
SQ60,- - - - - Pseudo poisoning disorder (TM2)
SQ61,- - - - - Artificial poison disorder (TM2)
SQ6Y,- - - - - Other specified poisoning disorders (TM2)
SQ6Z,"- - - - - Poisoning disorders (TM2), unspecified"
SQ80,- - - - Inadequate diet disorders (TM2)
SQ8Y,- - - - Other specified external factors disorders (TM2)
SQ8Z,"- - - - External factors disorders (TM2), unspecified"
SR00,- - - - Marasmus disorder (TM2)
SR01,- - - - Bed wetting disorder (TM2)
SR02,- - - - Infantile dysentry disorder (TM2)
SR03,- - - - Infantile epilepsy disorder (TM2)
SR04,- - - - Ophthalmia neonatarum disorder (TM2)
SR05,- - - - Childhood malnutrition disorder (TM2)
SR06,- - - - Oral thrush in babies disorder (TM2)
SR0Y,- - - - Other specified childhood disorders (TM2)
SR0Z,"- - - - Childhood disorders (TM2), unspecified"
SR10,- - - - Vitiation of vāta pattern (TM2)
SR11,- - - - Accumulation of Vata pattern (TM2)
SR12,- - - - Aggravation of vata pattern (TM2)
SR13,- - - - Spreading of vata pattern (TM2)
SR14,- - - - Depletion of vata pattern (TM2)
SR15,- - - - Vitiation of pitta pattern (TM2)
SR16,- - - - Accumulation of pitta pattern (TM2)
SR17,- - - - Aggravation of pitta pattern (TM2)
SR18,- - - - Spreading of pitta pattern (TM2)
SR19,- - - - Depletion of pitta pattern (TM2)
SR1A,- - - - Vitiation of kapha pattern (TM2)
SR1B,- - - - Accumulation of kapha pattern (TM2)
SR1C,- - - - Aggravation of kapha pattern (TM2)
SR1D,- - - - Spreading of kapha pattern (TM2)
SR1E,- - - - Depletion of kapha pattern (TM2)
SR1F,- - - - Increase of Vaḷi pattern (TM2)
SR1G,- - - - Increase of Aẕal pattern (TM2)
SR1H,- - - - Increase of Aiyam pattern (TM2)
SR1J,- - - - Decrease of Vaḷi pattern (TM2)
SR1K,- - - - Decrease of Aẕal pattern (TM2)
SR1L,- - - - Decrease of Aiyam pattern (TM2)
SR1M,- - - - Predominance of Dam pattern (TM2)
SR1N,- - - - Predominance of Ṣafrā’ pattern (TM2)
SR1P,- - - - Predominance of Balgham pattern (TM2)
SR1Q,- - - - Predominance of Sawdā’ pattern (TM2)
SR1R,- - - - Blood thickening pattern (TM2)
SR1S,- - - - Blood thinning pattern (TM2)
SR1T,- - - - Blood deficiency pattern (TM2)
SR1U,- - - - Blood hyperviscosity pattern (TM2)
SR1V,- - - - Spoilage of humors pattern (TM2)
SR1W,- - - - Burning of humors pattern (TM2)
SR1X,- - - - Thickening of humors pattern (TM2)
SR20,- - - - Pattern of occlusion (TM2)
SR2Y,- - - - Other specified functional elements and humoral derangement patterns (TM2)
SR2Z,"- - - - Functional elements and humoral derangement patterns (TM2), unspecified"
SR40,- - - - Vitiation of 'primary structural components of the body' pattern (TM2)
SR41,- - - - Aggravation of primary circulating nutrient fluid pattern (TM2)
SR42,- - - - Depletion of primary circulating nutrient fluid pattern (TM2)
SR43,- - - - Morbid increase of blood pattern (TM2)
SR44,- - - - Depletion of blood pattern (TM2)
SR45,- - - - Excessive increase of muscular tissues pattern (TM2)
SR46,- - - - Depletion of muscular tissues pattern (TM2)
SR47,- - - - Increase of adipose tissues pattern (TM2)
SR48,- - - - Depletion of adipose tissues pattern (TM2)
SR49,- - - - Increase of bone tissues pattern (TM2)
SR4A,- - - - Depletion of bone tissues pattern (TM2)
SR4B,- - - - Increase of bone marrow pattern (TM2)
SR4C,- - - - Depletion of bone marrow pattern (TM2)
SR4D,- - - - Increase of reproductive tissues and semen pattern (TM2)
SR4E,- - - - Depletion of reproductive tissues and semen pattern (TM2)
SR4F,- - - - Diminution of Ojas pattern (TM2)
SR4G,- - - - Derangement of Ojas pattern (TM2)
SR4H,- - - - Dislodgement of Ojas pattern (TM2)
SR4J,- - - - Increased menstrual flow pattern (TM2)
SR4K,- - - - Diminution of menstrual flow pattern (TM2)
SR4L,- - - - Increased secretion of breast milk pattern (TM2)
SR4M,- - - - Decreased secretion of breast milk pattern (TM2)
SR50,- - - - - Derangement of channels carrying essense of digested food pattern (TM2)
SR51,- - - - - Derangement of channels enriching blood pattern (TM2)
SR52,- - - - - Derangement of channels enriching muscle tissue pattern (TM2)
SR53,- - - - - Derangement of channels carrying fat pattern (TM2)
SR54,- - - - - Derangement of channels enriching bone pattern (TM2)
SR55,- - - - - Derangement of channels enriching bone marrow pattern (TM2)
SR56,- - - - - Derangement of channels enriching seminal fluid pattern (TM2)
SR57,- - - - - Derangement of channels enriching vital life force pattern (TM2)
SR58,- - - - - Derangement of channels for fluid circulation pattern (TM2)
SR59,- - - - - Derangement of digestive tract pattern (TM2)
SR5A,- - - - - Derangement of channels of faeces pattern (TM2)
SR5B,- - - - - Derangement of urinary tract pattern (TM2)
SR5C,- - - - - Derangement of channels producing sweat pattern (TM2)
SR5D,- - - - - Derangement of channels enriching breast milk pattern (TM2)
SR5E,- - - - - Derangement of mind related channels pattern (TM2)
SR5Y,- - - - - Other specified derangement of channels pattern (TM2)
SR5Z,"- - - - - Derangement of channels pattern (TM2), unspecified"
SR60,- - - - Increase of female reproductive tissue pattern (TM2)
SR61,- - - - Decrease of female reproductive tissue pattern (TM2)
