Foundation URI,Linearization URI,Code,BlockId,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5
http://id.who.int/icd/entity/651856613,http://id.who.int/icd/release/11/mms/651856613,SK94,,- - - - - Nasal polyp disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1821206400,http://id.who.int/icd/release/11/mms/1821206400,SK95,,- - - - - Rhinitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/612225920,http://id.who.int/icd/release/11/mms/612225920,SK96,,- - - - - Coryza and catarrh disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/528915496,http://id.who.int/icd/release/11/mms/528915496,SK97,,- - - - - Nasal obstruction disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/178115328,http://id.who.int/icd/release/11/mms/178115328,SK98,,- - - - - Ozaena disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1349233699,http://id.who.int/icd/release/11/mms/1349233699,SK99,,- - - - - Sinusitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/697120322,http://id.who.int/icd/release/11/mms/697120322,SK9A,,- - - - - Adenoiditis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/341642327/other,SK9Y,,- - - - - Other specified nose disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/341642327/unspecified,SK9Z,,"- - - - - Nose disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1857550376,http://id.who.int/icd/release/11/mms/1857550376,,BlockL4-SL0,- - - - Neck and throat disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/512470411,http://id.who.int/icd/release/11/mms/512470411,SL00,,- - - - - Throat tumour disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/328631581,http://id.who.int/icd/release/11/mms/328631581,SL01,,- - - - - Retropharyngeal abscess disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1293014912,http://id.who.int/icd/release/11/mms/1293014912,SL02,,- - - - - Hoarseness of voice disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1736505922,http://id.who.int/icd/release/11/mms/1736505922,SL03,,- - - - - Indistinct- abnormal voice disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/2122024590,http://id.who.int/icd/release/11/mms/2122024590,SL04,,- - - - - Severe throat inflammation disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/2059800754,http://id.who.int/icd/release/11/mms/2059800754,SL05,,- - - - - Pharyngitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/510786647,http://id.who.int/icd/release/11/mms/510786647,SL06,,- - - - - Tonsillitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1377008485,http://id.who.int/icd/release/11/mms/1377008485,SL07,,- - - - - Speech disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1295619984,http://id.who.int/icd/release/11/mms/1295619984,SL08,,- - - - - Lymphadenopathy in throat region disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/587239726,http://id.who.int/icd/release/11/mms/587239726,SL09,,- - - - - Laryngitis disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/1857550376/other,SL0Y,,- - - - - Other specified neck and throat disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/1857550376/unspecified,SL0Z,,"- - - - - Neck and throat disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1000664379,http://id.who.int/icd/release/11/mms/1000664379,SL20,,- - - - Excessive sneezing disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/240013389,http://id.who.int/icd/release/11/mms/240013389,SL21,,- - - - Hypernasal speech disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/823901578/other,SL2Y,,"- - - - Other specified eye, ear, nose, throat and neck disorders (TM2)",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
,http://id.who.int/icd/release/11/mms/823901578/unspecified,SL2Z,,"- - - - Eye, ear, nose, throat and neck disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SK6,,
http://id.who.int/icd/entity/1274104313,http://id.who.int/icd/release/11/mms/1274104313,,BlockL3-SL4,- - - Respiratory system disorders (TM2),block,3,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,,,
http://id.who.int/icd/entity/1252530838,http://id.who.int/icd/release/11/mms/1252530838,SL40,,- - - - Bronchial asthma disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SL4,,
http://id.who.int/icd/entity/1155955370,http://id.who.int/icd/release/11/mms/1155955370,SL41,,- - - - Cough disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SL4,,
http://id.who.int/icd/entity/1196419841,http://id.who.int/icd/release/11/mms/1196419841,SL42,,- - - - Dyspnoea disorder (TM2),category,1,False,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SL4,,
,http://id.who.int/icd/release/11/mms/1274104313/other,SL4Y,,- - - - Other specified respiratory system disorders (TM2),category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SL4,,
,http://id.who.int/icd/release/11/mms/1274104313/unspecified,SL4Z,,"- - - - Respiratory system disorders (TM2), unspecified",category,1,True,26,browser,True,False,BlockL1-SK0,BlockL2-SK0,BlockL3-SL4,,
http://id.who.int/icd/entity/604042066,http://id.who.int/icd/release/11/mms/604042066,,BlockL3-SL6,"- - - Heart, blood and circulatory disorders (TM2)",block,3,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,,,
http://id.who.int/icd/entity/21381775,http://id.who.int/icd/release/11/mms/21381775,,BlockL4-SL6,- - - - Heart disorders (TM2),block,4,False,26,browser,False,,BlockL1-SK0,BlockL2-SK0,BlockL3-SL6,,
